type_scenario	variable_column_x	city	predicted_cluster
srag	Cases	Iguatu	1
srag	Cases	Crato	10
srag	Cases	Ipueiras	6
srag	Cases	Maracanaú	10
srag	Cases	Pacatuba	2
srag	Cases	Cascavel	9
srag	Cases	Camocim	5
srag	Cases	Jaguaruana	5
srag	Cases	Várzea Alegre	10
srag	Cases	Crateús	9
srag	Cases	Mombaça	1
srag	Cases	Tauá	1
srag	Cases	Beberibe	1
srag	Cases	Russas	9
srag	Cases	Mauriti	0
srag	Cases	Brejo Santo	1
srag	Cases	Canindé	1
srag	Cases	Icó	9
srag	Cases	Ibiapina	1
srag	Cases	Icapuí	1
srag	Cases	Cedro	9
srag	Cases	Assaré	9
srag	Cases	Quixeré	9
srag	Cases	Pentecoste	9
srag	Cases	Jardim	9
srag	Cases	Redenção	9
srag	Cases	Acopiara	11
srag	Cases	Cruz	9
srag	Cases	Jaguaribe	9
srag	Cases	Pereiro	9
srag	Cases	Santa Quitéria	9
srag	Cases	Marco	9
srag	Cases	Barreira	9
srag	Cases	Itarema	9
srag	Cases	Massapê	9
srag	Cases	Tabuleiro do Norte	9
srag	Cases	Granja	9
srag	Cases	Jijoca de Jericoacoara	9
srag	Cases	Barro	9
srag	Cases	Bela Cruz	9
srag	Cases	Irauçuba	9
srag	Cases	São Benedito	9
srag	Cases	Morada Nova	9
srag	Cases	Missão Velha	9
srag	Cases	Iracema	9
srag	Cases	Varjota	9
srag	Cases	Aurora	9
srag	Cases	Guaraciaba do Norte	9
srag	Cases	Viçosa do Ceará	9
srag	Cases	Guaiúba	9
srag	Cases	Amontada	9
srag	Cases	Ubajara	9
srag	Cases	Senador Pompeu	9
srag	Cases	Nova Russas	9
srag	Cases	Uruburetama	9
srag	Cases	Santana do Acaraú	9
srag	Cases	Monsenhor Tabosa	9
srag	Cases	Lavras da Mangabeira	9
srag	Cases	Novo Oriente	9
srag	Cases	Itaitinga	9
srag	Cases	Campos Sales	9
srag	Cases	Quixadá	9
srag	Cases	Jucás	9
srag	Cases	Horizonte	9
srag	Cases	Reriutaba	9
srag	Cases	Fortim	9
srag	Cases	Frecheirinha	9
srag	Cases	Paraipaba	9
srag	Cases	Trairi	9
srag	Cases	Aquiraz	9
srag	Cases	Forquilha	9
srag	Cases	Independência	9
srag	Cases	Morrinhos	9
srag	Cases	Eusébio	11
srag	Cases	Tamboril	11
srag	Cases	Braço do Norte	9
srag	Cases	Jaraguá do Sul	9
srag	Cases	São José	9
srag	Cases	Joinville	9
srag	Cases	Florianópolis	9
srag	Cases	Tubarão	10
srag	Cases	Blumenau	9
srag	Cases	Balneário Camboriú	9
srag	Cases	São Bento do Sul	12
srag	Cases	Lages	10
srag	Cases	Joaçaba	10
srag	Cases	Araranguá	9
srag	Cases	Brusque	9
srag	Cases	Morro da Fumaça	12
srag	Cases	Chapecó	9
srag	Cases	Rio dos Cedros	6
srag	Cases	Curitibanos	12
srag	Cases	Capinzal	12
srag	Cases	Itajaí	9
srag	Cases	Itaiópolis	5
srag	Cases	Biguaçu	10
srag	Cases	Ituporanga	10
srag	Cases	Timbó	10
srag	Cases	Içara	10
srag	Cases	Imbituba	12
srag	Cases	Laguna	11
srag	Cases	Pomerode	12
srag	Cases	Ibirama	11
srag	Cases	Jaguaruna	12
srag	Cases	Criciúma	9
srag	Cases	Canoinhas	5
srag	Cases	Concórdia	5
srag	Cases	Itapema	12
srag	Cases	Videira	5
srag	Cases	Três Barras	12
srag	Cases	São Francisco do Sul	10
srag	Cases	Turvo	5
srag	Cases	Porto União	12
srag	Cases	Fraiburgo	5
srag	Cases	Rio do Sul	10
srag	Cases	Gaspar	10
srag	Cases	Caçador	10
srag	Cases	Indaial	12
srag	Cases	Agrolândia	5
srag	Cases	Xanxerê	5
srag	Cases	Xaxim	5
srag	Cases	Mafra	12
srag	Cases	Nova Trento	12
srag	Cases	São João Batista	12
srag	Cases	Navegantes	10
srag	Cases	Presidente Getúlio	5
srag	Cases	Papanduva	12
srag	Cases	Palhoça	12
srag	Cases	Iporã do Oeste	5
srag	Cases	Orleans	5
srag	Cases	Canelinha	5
srag	Cases	São Miguel do Oeste	10
srag	Cases	Maravilha	10
srag	Cases	Armazém	5
srag	Cases	Santo Amaro da Imperatriz	12
srag	Cases	Campo Alegre	5
srag	Cases	Massaranduba	5
srag	Cases	Camboriú	5
srag	Cases	Urussanga	11
srag	Cases	São Lourenço do Oeste	11
srag	Cases	Taió	11
srag	Cases	Tijucas	9
srag	Cases	São Joaquim	11
srag	Cases	Sombrio	11
srag	Cases	Guaramirim	11
srag	Cases	Coronel Freitas	11
srag	Cases	Rio Negrinho	11
srag	Cases	Campos Novos	11
srag	Cases	Jacinto Machado	11
srag	Cases	Dionísio Cerqueira	11
srag	Cases	Palmitos	11
srag	Cases	Corupá	11
srag	Cases	Guaraciaba	11
srag	Cases	Itapoá	11
srag	Cases	Luzerna	11
srag	Cases	Penha	11
srag	Cases	Trombudo Central	11
srag	Cases	Luiz Alves	11
srag	Cases	Cunha Porã	11
srag	Cases	Santa Cecília	11
srag	Cases	Barra Velha	11
srag	Cases	Quilombo	11
srag	Cases	Irani	11
srag	Cases	Araquari	11
srag	Cases	Itapiranga	11
srag	Cases	Otacílio Costa	11
srag	Cases	Pinhalzinho	11
srag	Cases	São José do Cedro	11
srag	Cases	Urubici	11
srag	Cases	Faxinal dos Guedes	11
srag	Cases	Itá	11
srag	Cases	Pouso Redondo	11
srag	Cases	Balneário Barra do Sul	11
srag	Cases	Abelardo Luz	11
srag	Cases	Bombinhas	11
srag	Cases	Campo Erê	11
srag	Cases	Garuva	11
srag	Cases	Herval d'Oeste	11
srag	Cases	Rio de Janeiro	9
srag	Cases	Cabo Frio	10
srag	Cases	Petrópolis	9
srag	Cases	Resende	9
srag	Cases	Angra dos Reis	10
srag	Cases	Barra do Piraí	10
srag	Cases	Niterói	9
srag	Cases	Quissamã	2
srag	Cases	Itaboraí	9
srag	Cases	Macaé	9
srag	Cases	Campos dos Goytacazes	9
srag	Cases	Vassouras	2
srag	Cases	Teresópolis	9
srag	Cases	São Gonçalo	9
srag	Cases	Duque de Caxias	9
srag	Cases	Volta Redonda	9
srag	Cases	Rio das Ostras	9
srag	Cases	Itaguaí	9
srag	Cases	Rio Bonito	10
srag	Cases	Valença	9
srag	Cases	Nova Friburgo	9
srag	Cases	Nilópolis	9
srag	Cases	Barra Mansa	9
srag	Cases	Belford Roxo	9
srag	Cases	Itaperuna	10
srag	Cases	Saquarema	1
srag	Cases	Maricá	10
srag	Cases	Piraí	5
srag	Cases	Araruama	10
