city	total_waves	wave_order	peak	indexes	dates	case_numbers
Barueri	4	4	18	76,79,80,81,83,85,86,87,88,89,90,91	2021-w34,2021-w37,2021-w38,2021-w39,2021-w41,2021-w43,2021-w44,2021-w45,2021-w46,2021-w47,2021-w48,2021-w49	13,7,12,12,6,3,11,6,1,4,3,3
Guarulhos	4	1	240	0,1,2,4,4,5,7,7,8,9,11,11,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	2020-w11,2020-w12,2020-w13,2020-w15,2020-w15,2020-w16,2020-w18,2020-w18,2020-w19,2020-w20,2020-w22,2020-w22,2020-w24,2020-w25,2020-w26,2020-w27,2020-w28,2020-w29,2020-w30,2020-w31,2020-w32,2020-w33,2020-w34,2020-w35,2020-w36,2020-w37,2020-w38,2020-w39,2020-w40,2020-w41	3,8,35,77,77,118,157,157,214,224,238,238,217,212,216,196,219,203,143,113,121,108,79,105,88,69,55,44,40,51
Guarulhos	4	2	149	32,33,34,35,36,38,38,40,40,42,42,44,45,46	2020-w43,2020-w44,2020-w45,2020-w46,2020-w47,2020-w49,2020-w49,2020-w51,2020-w51,2020-w53,2020-w53,2021-w02,2021-w03,2021-w04	47,48,51,80,93,95,95,102,102,88,88,110,84,88
Guarulhos	4	3	331	48,49,50,51,52,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72	2021-w06,2021-w07,2021-w08,2021-w09,2021-w10,2021-w12,2021-w13,2021-w14,2021-w15,2021-w16,2021-w17,2021-w18,2021-w19,2021-w20,2021-w21,2021-w22,2021-w23,2021-w24,2021-w25,2021-w26,2021-w27,2021-w28,2021-w29,2021-w30	90,107,156,237,268,326,250,213,213,162,153,127,157,147,134,122,144,137,110,97,72,75,67,43
Guarulhos	4	4	31	74,76,76,78,78,80,81,82,83,84,85,86,87,88,89,90,91	2021-w32,2021-w34,2021-w34,2021-w36,2021-w36,2021-w38,2021-w39,2021-w40,2021-w41,2021-w42,2021-w43,2021-w44,2021-w45,2021-w46,2021-w47,2021-w48,2021-w49	40,22,22,27,27,30,25,26,20,17,16,17,12,14,8,5,5
Jundiaí	5	1	75	0,2,2,3,4,5,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	2020-w12,2020-w14,2020-w14,2020-w15,2020-w16,2020-w17,2020-w19,2020-w21,2020-w22,2020-w23,2020-w24,2020-w25,2020-w26,2020-w27,2020-w28,2020-w29,2020-w30,2020-w31,2020-w32,2020-w33,2020-w34,2020-w35,2020-w36,2020-w37,2020-w38,2020-w39,2020-w40,2020-w41	3,20,20,23,24,32,65,85,103,100,123,118,151,114,121,99,78,82,62,52,69,56,41,48,24,17,22,15
Jundiaí	5	2	89	31,33,33,34,35,36,38,39,40,41,42,43,44,45	2020-w43,2020-w45,2020-w45,2020-w46,2020-w47,2020-w48,2020-w50,2020-w51,2020-w52,2020-w53,2021-w01,2021-w02,2021-w03,2021-w04	13,17,17,32,49,53,79,72,65,47,76,70,67,63
Jundiaí	5	3	329	47,48,49,50,51,52,54,55,56,57,58,59,60,61	2021-w06,2021-w07,2021-w08,2021-w09,2021-w10,2021-w11,2021-w13,2021-w14,2021-w15,2021-w16,2021-w17,2021-w18,2021-w19,2021-w20	62,69,93,166,255,311,225,189,137,142,131,131,126,148
Jundiaí	5	4	193	63,64,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80	2021-w22,2021-w23,2021-w25,2021-w26,2021-w27,2021-w28,2021-w29,2021-w30,2021-w31,2021-w32,2021-w33,2021-w34,2021-w35,2021-w36,2021-w37,2021-w38,2021-w39	176,187,165,127,96,79,62,57,54,32,24,21,27,10,15,10,13
Jundiaí	5	5	10	82,83,85,87,88,89	2021-w41,2021-w42,2021-w44,2021-w46,2021-w47,2021-w48	5,8,7,6,7,6
Capão Bonito	4	1	4	0,1,2,4,4,5,7,7,8,9,11,11,13,15,16	2020-w13,2020-w14,2020-w16,2020-w18,2020-w18,2020-w20,2020-w22,2020-w22,2020-w23,2020-w24,2020-w26,2020-w26,2020-w28,2020-w30,2020-w31	1,1,2,1,1,1,1,1,1,3,2,2,3,1,4
Capão Bonito	4	2	4	18,19,21,24,25,26,27,28,29,30	2020-w36,2020-w38,2020-w42,2020-w45,2020-w46,2020-w47,2020-w48,2020-w49,2020-w50,2020-w51	1,1,3,7,16,7,6,3,1,5
Capão Bonito	4	3	5	32,35,36,38,39,40,41,42,43,44,45,46,47,48,49,50,51	2020-w53,2021-w03,2021-w04,2021-w06,2021-w07,2021-w08,2021-w09,2021-w10,2021-w11,2021-w12,2021-w13,2021-w14,2021-w15,2021-w16,2021-w17,2021-w18,2021-w19	4,1,4,4,3,6,4,11,6,5,19,5,9,5,9,6,9
Capão Bonito	4	4	12	53,54,55,56,58,59,60	2021-w21,2021-w22,2021-w23,2021-w24,2021-w26,2021-w27,2021-w28	8,8,8,10,4,1,2
Caraguatatuba	4	1	47	0,1,4,5,6,8,8,9,11,11,13,13,15,15,17,18,19,20,21,22,23	2020-w12,2020-w13,2020-w16,2020-w17,2020-w18,2020-w20,2020-w20,2020-w21,2020-w23,2020-w23,2020-w25,2020-w25,2020-w27,2020-w27,2020-w29,2020-w30,2020-w31,2020-w32,2020-w33,2020-w34,2020-w35	2,2,1,3,4,1,1,2,15,15,13,13,30,30,38,27,12,10,27,20,31
Caraguatatuba	4	2	23	25,27,27,29,30,31	2020-w37,2020-w39,2020-w39,2020-w41,2020-w42,2020-w43	14,7,7,12,10,13
Caraguatatuba	4	3	43	33,34,35,36,37,39,40,43,44,45,46,47,48,49,50,51,52,53	2020-w45,2020-w46,2020-w47,2020-w48,2020-w49,2020-w51,2020-w52,2021-w02,2021-w03,2021-w04,2021-w05,2021-w06,2021-w07,2021-w08,2021-w09,2021-w10,2021-w11,2021-w12	10,10,13,23,30,33,22,60,69,38,30,33,23,41,36,29,26,37
Caraguatatuba	4	4	25	55,58,60,60,62,62,64,64,66,68,69,70,71	2021-w14,2021-w17,2021-w19,2021-w19,2021-w21,2021-w21,2021-w23,2021-w23,2021-w25,2021-w27,2021-w28,2021-w29,2021-w30	26,21,22,22,19,19,22,22,8,8,15,5,2
